nav-link href,listing-location,price,bed,bath,listing-floorarea,listing-floorarea 2
https://www.rumah.com/listing-properti/dijual-sheffield-greenwich-bsd-oleh-chatarina-19008603,"sheffield greenwich bsd, BSD, Tangerang Selatan, Banten","4,6 M",4,3,235 m²,Rp 18.039.216 per m²
https://www.rumah.com/listing-properti/dijual-rumah-di-bintaro-puri-bintaro-sektor-9-bintaro-lt-629-m-5-oleh-nia-utania-21762364,"Puri Bintaro sektor 9, Bintaro, Tangerang Selatan, Banten","6,7 M",4,4,800 m²,Rp 10.651.828 per m²
https://www.rumah.com/listing-properti/dijual-cosmo-icon-bsd-oleh-chatarina-18937873,"cosmo icon bsd, BSD, Tangerang Selatan, Banten","1,65 M",2,1,60 m²,Rp 15.714.286 per m²
https://www.rumah.com/listing-properti/dijual-jl-pajak-raya-cikadu-jurangmangu-tangerang-selatan-oleh-chatarina-20674686,"jl. pajak raya cikadu jurangmangu, Pondok Aren, Tangerang Selatan, Banten",10 M,4,4,500 m²,Rp 9.302.326 per m²
https://www.rumah.com/listing-properti/dijual-taman-giriloka-bsd-oleh-chatarina-18688500,"taman giriloka bsd, BSD, Tangerang Selatan, Banten","8,3 M",3,3,305 m²,Rp 13.495.935 per m²
https://www.rumah.com/listing-properti/dijual-cluster-vivaldi-gading-serpong-oleh-adrian-ong-21615807,"Gading Serpong, Tangerang Selatan, Banten","3,7 M",4,4,132 m²,Rp 28.906.250 per m²
https://www.rumah.com/listing-properti/dijual-komplek-jambu-sari-pisangan-ciputat-oleh-chatarina-19984212,"komplek jambu sari pisangan ciputat, Ciputat, Tangerang Selatan, Banten","4,5 M",5,6,263 m²,Rp 22.500.000 per m²
https://www.rumah.com/listing-properti/dijual-di-jual-bu-rumah-dekat-mrt-lebak-bulus-oleh-zumi-mahmud-21516272,"Cirendeu, Ciputat Timur, Tangerang Selatan, Banten","1,87 M",4,4,102 m²,Rp 14.841.270 per m²
https://www.rumah.com/listing-properti/dijual-jual-murah-cepat-rumah-baru-dipisangan-ciputat-dekat-mrt-lebak-bulus-oleh-zumi-mahmud-21353385,"Pisangan, Ciputat, Tangerang Selatan, Banten","1,35 M",4,2,78 m²,Rp 16.875.000 per m²
https://www.rumah.com/listing-properti/dijual-millennium-city-cluster-brighton-tipe-6x12-oleh-heny-risakotta-21000637,"Serpong, Tangerang Selatan, Banten",1 M,3,2,70 m²,Rp 13.888.889 per m²
https://www.rumah.com/listing-properti/dijual-precia-eminent-bsd-oleh-chatarina-17501654,"precia eminent bsd, BSD, Tangerang Selatan, Banten","2,65 M",3,2,84 m²,Rp 23.660.714 per m²
https://www.rumah.com/listing-properti/dijual-bintaro-jaya-sektor-9-oleh-muhammad-ichsan-fadhilah-21762258,"Bintaro, Tangerang Selatan, Banten","2,95 M",5,3,150 m²,Rp 20.486.111 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-apik-di-sutera-feronia-park-alam-sutera-oleh-sandy-21758047,"Sutera Feronia Park, Serpong Utara, Tangerang Selatan, Banten","2,8 M",5,2,200 m²,Rp 23.529.412 per m²
https://www.rumah.com/listing-properti/dijual-rumah-ciputat-komplek-bukit-nusa-indah-dekat-tol-bintaro-oleh-dhidy-21322310,"Ciputat, Serua, Jombang, Bintaro, Pondok Aren, Ciputat, Tangerang Selatan, Banten",850 jt,3,2,95 m²,Rp 7.083.333 per m²
https://www.rumah.com/listing-properti/dijual-rumah-baru-di-jombang-tangsel-dekat-stasiun-sudimara-oleh-dhidy-21616908,"Jl Betawi, Pamulang, Tangerang Selatan, Banten",560 jt,2,1,45 m²,Rp 10.769.231 per m²
https://www.rumah.com/listing-properti/dijual-bsd-scandinavian-valley-oleh-afif-rediansah-20350160,"Depan QBig BSD 100 meter dari jalan bumi foresta, BSD, Tangerang Selatan, Banten",999 jt,3,2,85 m²,Rp 16.650.000 per m²
https://www.rumah.com/listing-properti/dijual-rumah-indent-truvana-bandar-legoso-townhouse-ciputat-1-km-dari-uin-oleh-dhidy-21628977,"Ciputat, Tangerang Selatan, Banten","2,45 M",3,3,185 m²,Rp 28.823.529 per m²
https://www.rumah.com/listing-properti/dijual-rumah-dengan-halaman-luas-2lantai-di-sektor-3a-bintaro-jaya-oleh-raumanen-21750926,"Bintaro, Tangerang Selatan, Banten","5,5 M",5,4,300 m²,Rp 13.126.492 per m²
https://www.rumah.com/listing-properti/dijual-rumah-hot-sale-modern-2-lantai-di-emerald-terrace-bintaro-gb6933-oleh-gabie-21762182,"bintaro sektor 9, Bintaro, Tangerang Selatan, Banten","2,55 M",3,3,92 m²,Rp 20.078.740 per m²
https://www.rumah.com/listing-properti/dijual-rumah-mewah-2-lantai-area-premium-di-discovery-bintaro-sc10166iq-oleh-shanty-suntea-21762170,"Discovery Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten","3,9 M",4,3,165 m²,Rp 26.000.000 per m²
https://www.rumah.com/listing-properti/dijual-dijual-rumah-minimalis-di-daerah-bintaro-oleh-siti-aminah-21759066,"bintaro, Bintaro, Tangerang Selatan, Banten","1,3 M",3,2,92 m²,Rp 13.978.495 per m²
https://www.rumah.com/listing-properti/dijual-taman-giri-loka-bsd-oleh-christia-20450349,"TAMAN GIRI LOKA, BSD, BSD, Tangerang Selatan, Banten","6,75 M",4,3,500 m²,Rp 17.904.509 per m²
https://www.rumah.com/listing-properti/dijual-rumah-fully-furnished-modern-di-kebayoran-symphony-bintaro-gb-4342-oleh-gabie-21762161,"bintaro sektor 7, Bintaro, Tangerang Selatan, Banten","6,45 M",5,4,300 m²,Rp 25.294.118 per m²
https://www.rumah.com/listing-properti/dijual-lancewood-navapark-bsd-city-oleh-christia-20870364,"LANCEWOOD - NAVAPARK, BSD CITY, BSD, Tangerang Selatan, Banten","8,3 M",3,3,285 m²,Rp 37.727.273 per m²
https://www.rumah.com/listing-properti/dijual-delatinos-bsd-oleh-christia-19835291,"Delatinos, BSD, BSD, Tangerang Selatan, Banten","5,8 M",6,4,300 m²,Rp 14.646.465 per m²
https://www.rumah.com/listing-properti/dijual-bintaro-river-park-bintaro-oleh-christia-20360676,"BINTARO RIVER PARK, Bintaro, Bintaro, Tangerang Selatan, Banten","5,4 M",3,4,250 m²,Rp 20.224.719 per m²
https://www.rumah.com/listing-properti/dijual-alam-sutera-oleh-christia-21220693,"SUTERA DELIMA, ALAM SUTERA, Alam Sutera, Tangerang Selatan, Banten","3,7 M",5,3,150 m²,Rp 18.500.000 per m²
